Real CCN,Real SSN,Real FN,Real LN,Trust CCN,Trust SSN,Trust FN,Trust LN,TrustCreditCardFuzzFields,TrustCreditCardFuzzMethod,TrustConsumerFuzzFields,TrustConsumerFuzzMethod,Debt CCN,Debt SSN,Debt FN,Debt LN,DebtCreditCardFuzzFields,DebtCreditCardFuzzMethod,DebtConsumerFuzzFields,DebtConsumerFuzzMethod
'5024364711157374',294-32-2178,Cragin,Lingis,'5024364711157374',294-32-2178,Cragin,Lingis,0,0,0,0,'5024364711157374',294-32-2178,Cragin,Lingis,0,0,0,0
'7012224035103435',984-35-1327,Paulinda,Arrigo,'7012224035103435',984-35-1327,Paulinda,Arrigo,0,0,0,0,'7012224035103435',984-35-1327,Paulinda,Arrigo,0,0,0,0
'7331343756718012',337-81-5894,,Armstrong,'7331343756718012',337-81-5894,,Armstrong,0,0,0,0,'7331343756718012',337-81-5894,,Armstrong,0,0,0,0
'4029032468640833',094-67-8365,Mevlyn,Kaler,'4029032468640833',094-76-8365,Mevlyn,Kaler,0,0,4,4,'4029032468640833',094-67-8365,Mevlyn,Kaler,0,0,0,0
'7589110035263492',094-67-8365,Mevlyn,Kaler,'7589110035263492',094-76-8365,Mevlyn,Kaler,0,0,4,4,'7589110035263492',094-67-8365,Mevlyn,Kaler,0,0,0,0
'5692070169333797',094-67-8365,Mevlyn,Kaler,'5692070169333797',094-76-8365,Mevlyn,Kaler,0,0,4,4,'5692070169333797',094-67-8365,Mevlyn,Kaler,0,0,0,0
'7123117692127252',806-91-9665,Peisha,Dancho,'7123117962127252',806-91-9656,Peisha,Dancho,1,4,4,4,'7123117692127252',806-91-9665,Peisha,Dancho,0,0,0,0
'7390379086161389',515-27-5343,Zuleika,Mccowan,'7390379086161389',515-27-5343,Zuleika,Mccowan,0,0,0,0,'7390379086161389',515-27-5343,Zuleika,Mccowan,0,0,0,0
'4869715630511720',498-37-1185,Tabetha,Godfrey,'4869715630511720',498-37-1185,Tabetha,Godfrey,0,0,0,0,'4869715630511720',498-37-1185,Tabetha,Godfrey,0,0,0,0
'5428286725298560',321-02-6709,Sofia,Crozier,'5428286725298560',321-02-6709,Sofia,Crozier,0,0,0,0,'5428286725298560',321-02-6709,Sofia,Crozier,0,0,0,0
'7567821933107509',321-02-6709,Sofia,Crozier,'7567821931307509',321-02-6709,Sofia,Crozier,1,4,0,0,'7567821933107509',321-02-6709,Sofia,Crozier,0,0,0,0
'7664586623038190',886-56-0010,Zaundra,Sondrini,'7664586623038910',886-56-0010,Zaundra,Sondrini,1,4,0,0,'7664586623038190',886-56-0010,Zaundra,Sondrini,0,0,0,0
'4044413462264028',886-56-0010,Zaundra,Sondrini,'4044413462264028',886-56-0010,Zaundra,Sondrini,0,0,0,0,'4044413462264028',886-56-0010,Zaundra,Sondrini,0,0,0,0
